nncp compress: input bytes=51797434 model dim=256 depth=4 heads=8
num_params_M: 3.483136
nncp compress: bytes=51797434 ctx=1024 slide=768 train_every=256 train_batch=8 train_seq=256
/home/andrew/Developer/a-compressed-world/.venv/lib/python3.12/site-packages/torch/autograd/graph.py:869: UserWarning: Memory Efficient attention defaults to a non-deterministic algorithm. To explicitly enable determinism call torch.use_deterministic_algorithms(True, warn_only=False). (Triggered internally at /pytorch/aten/src/ATen/native/transformers/cuda/attention_backward.cu:900.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
step 112640 bytes 112640 bits 645991 bpb 5.7350 window_bpb 5.8516 elapsed 152.7s
step 113664 bytes 113664 bits 651923 bpb 5.7355 window_bpb 5.7930 elapsed 154.1s
step 114688 bytes 114688 bits 657661 bpb 5.7343 window_bpb 5.6035 elapsed 155.5s
step 115712 bytes 115712 bits 663261 bpb 5.7320 window_bpb 5.4688 elapsed 156.9s
step 116736 bytes 116736 bits 668823 bpb 5.7294 window_bpb 5.4316 elapsed 158.2s
step 117760 bytes 117760 bits 674413 bpb 5.7270 window_bpb 5.4590 elapsed 159.6s
step 118784 bytes 118784 bits 679929 bpb 5.7241 window_bpb 5.3867 elapsed 161.0s
step 119808 bytes 119808 bits 685479 bpb 5.7215 window_bpb 5.4199 elapsed 162.3s
step 120832 bytes 120832 bits 691089 bpb 5.7194 window_bpb 5.4785 elapsed 163.7s
step 121856 bytes 121856 bits 696785 bpb 5.7181 window_bpb 5.5625 elapsed 165.1s
step 122880 bytes 122880 bits 702340 bpb 5.7157 window_bpb 5.4248 elapsed 166.5s
step 123904 bytes 123904 bits 707964 bpb 5.7138 window_bpb 5.4922 elapsed 167.8s
step 124928 bytes 124928 bits 713601 bpb 5.7121 window_bpb 5.5049 elapsed 169.2s
step 125952 bytes 125952 bits 719191 bpb 5.7100 window_bpb 5.4590 elapsed 170.6s
step 126976 bytes 126976 bits 724739 bpb 5.7077 window_bpb 5.4180 elapsed 171.9s
step 128000 bytes 128000 bits 730629 bpb 5.7080 window_bpb 5.7520 elapsed 173.3s
step 129024 bytes 129024 bits 736230 bpb 5.7061 window_bpb 5.4697 elapsed 174.7s
step 130048 bytes 130048 bits 742351 bpb 5.7083 window_bpb 5.9775 elapsed 176.1s
step 131072 bytes 131072 bits 748156 bpb 5.7080 window_bpb 5.6689 elapsed 177.4s
step 132096 bytes 132096 bits 753771 bpb 5.7062 window_bpb 5.4834 elapsed 178.8s
step 133120 bytes 133120 bits 759364 bpb 5.7044 window_bpb 5.4619 elapsed 180.2s
step 134144 bytes 134144 bits 764961 bpb 5.7025 window_bpb 5.4658 elapsed 181.6s
step 135168 bytes 135168 bits 770624 bpb 5.7012 window_bpb 5.5303 elapsed 182.9s
step 136192 bytes 136192 bits 776247 bpb 5.6997 window_bpb 5.4912 elapsed 184.3s
step 137216 bytes 137216 bits 781654 bpb 5.6965 window_bpb 5.2803 elapsed 185.7s
step 138240 bytes 138240 bits 787072 bpb 5.6935 window_bpb 5.2910 elapsed 187.0s
step 139264 bytes 139264 bits 792459 bpb 5.6903 window_bpb 5.2607 elapsed 188.4s
step 140288 bytes 140288 bits 798024 bpb 5.6885 window_bpb 5.4346 elapsed 189.8s
step 141312 bytes 141312 bits 803535 bpb 5.6862 window_bpb 5.3818 elapsed 191.1s
